x,y
"01/2015",0.77
"02/2015",0.765
"03/2015",0.873
"04/2015",0.776
"05/2015",0.715
"06/2015",0.773
"07/2015",0.777
"08/2015",0.804
"09/2015",0.854
"10/2015",0.926
"11/2015",0.851
"12/2015",0.93
