x,y
"01/2015",1.964
"02/2015",1.96
"03/2015",2.24
"04/2015",2.229
"05/2015",2.158
"06/2015",2.483
"07/2015",2.525
"08/2015",2.538
"09/2015",2.414
"10/2015",2.746
"11/2015",2.566
"12/2015",2.751
