x,y
"01/2020",13.105
"02/2020",11.726
"03/2020",9.732
"04/2020",8.924
"05/2020",9.453
"06/2020",11.71
"07/2020",12.472
"08/2020",12.406
"09/2020",12.55
"10/2020",14.269
"11/2020",10.46
