x,y
"01/2012",1.258
"02/2012",1.281
"03/2012",1.462
"04/2012",1.352
"05/2012",1.364
"06/2012",1.222
"07/2012",1.138
"08/2012",1.179
"09/2012",0.96
"10/2012",1
"11/2012",1.032
"12/2012",1.137
