x,y
"01/2016",6.961
"02/2016",6.409
"03/2016",8.058
"04/2016",8.118
"05/2016",8.395
"06/2016",9.11
"07/2016",8.281
"08/2016",9.332
"09/2016",7.848
"10/2016",7.822
"11/2016",7.989
"12/2016",7.51
