x,y
"01/2019",2.224
"02/2019",2.406
"03/2019",2.688
"04/2019",3.041
"05/2019",3.228
"06/2019",2.931
"07/2019",3.497
"08/2019",3.722
"09/2019",3.702
"10/2019",4.492
"11/2019",4.114
"12/2019",4.512
