Date,Cumulative Returns
02/2006,0.942008046384845
03/2006,1.1944420055441682
04/2006,1.034969920276711
05/2006,1.130300142881251
06/2006,1.000472488889328
07/2006,0.7749183594001048
08/2006,0.8746553558566567
09/2006,0.797752350381151
10/2006,0.872357480803989
11/2006,0.8168042558880624
12/2006,0.8180247755435783
01/2007,0.817744027693687
02/2007,0.80728833329039
03/2007,0.9814226356825808
04/2007,0.9286323347657298
05/2007,1.0420222339387206
06/2007,0.9576869582504152
07/2007,0.9790928719161537
08/2007,0.9561521215863004
09/2007,0.8140687100841276
10/2007,1.0328692959655814
11/2007,0.9135273345901488
12/2007,0.8583050040451458
01/2008,0.8788442282289605
02/2008,0.9104500907438849
03/2008,0.8651622072620545
04/2008,1.0063081660861743
05/2008,1.041938501227444
06/2008,1.0883981970086039
07/2008,1.1565798209405855
08/2008,1.250637379001612
09/2008,1.0674440448521085
10/2008,0.9710256120844017
11/2008,0.6919570177721442
12/2008,0.8061905542422235
01/2009,0.7798729668209285
02/2009,0.7202128508342907
03/2009,0.8830284935706046
04/2009,0.9482355624678738
05/2009,0.9282834778008351
06/2009,1.0977197273243033
07/2009,1.1129016078562546
08/2009,1.0760721787325558
09/2009,1.0568145578103985
10/2009,1.0161345196635034
11/2009,0.9888378686815668
12/2009,1.1090774062306108
01/2010,0.9984888825892384
02/2010,0.8144473041119868
03/2010,1.0197387022217173
04/2010,0.9674396050143667
05/2010,0.8213780523426748
06/2010,0.8661554949943755
07/2010,0.8547319551359003
08/2010,0.9561550283018857
09/2010,1.001918327258756
10/2010,1.0544684579617487
11/2010,1.1226785926860574
12/2010,1.2279904368716592
01/2011,1.182088345084161
02/2011,1.2322338101611954
03/2011,1.4224961034611798
04/2011,1.2399352950349953
05/2011,1.3588093859061174
06/2011,1.3868444136115594
07/2011,1.2963955202414714
08/2011,1.31115068981598
09/2011,1.2372212685775987
10/2011,1.254053121799907
11/2011,1.3248683208874004
12/2011,1.3082712133345324
01/2012,1.315396106889912
02/2012,1.426808800781999
03/2012,1.6599528529028837
04/2012,1.5117098016683514
05/2012,1.5255506218442525
06/2012,1.3764749555554239
07/2012,1.3755005416042836
08/2012,1.6460722243486876
09/2012,1.3957964277084258
10/2012,1.4673118216528784
11/2012,1.505783388960082
12/2012,1.4643912991681405
01/2013,1.5818639159841787
02/2013,1.4634670260608535
03/2013,1.5545252169768797
04/2013,1.6762452208479208
05/2013,1.6646259545704363
06/2013,1.4591454155691952
07/2013,1.6079655406823523
08/2013,1.7265608763933693
09/2013,1.6256409715913704
10/2013,1.8528840050251085
11/2013,1.6796727721782825
12/2013,1.8324423914163386
01/2014,1.8466994907334933
02/2014,1.6976198277107344
03/2014,1.9409909428871281
04/2014,1.994584868344333
05/2014,2.0063096393140922
06/2014,2.007484662058077
07/2014,2.0890499797226765
08/2014,1.8949435948008482
09/2014,1.92044869560556
10/2014,2.0668801193197646
11/2014,1.656322989626013
12/2014,1.959619793539794
01/2015,1.7471634720864129
02/2015,1.6133310821805154
03/2015,1.884667367376253
04/2015,1.7601717566885222
05/2015,1.7026819864468183
06/2015,1.813608299392862
07/2015,1.7168603376157519
08/2015,1.5660429752960188
09/2015,1.4191361673312581
10/2015,1.5947870769661854
11/2015,1.3013028339236485
12/2015,1.3646617341387395
01/2016,1.120097860711545
02/2016,1.1844215804454719
03/2016,1.443948640958456
04/2016,1.3692429449889674
05/2016,1.40640928913179
06/2016,1.5155194839090131
07/2016,1.4521658748246369
08/2016,1.8333932961697432
09/2016,1.7123259180738395
10/2016,1.8208248850643056
11/2016,1.8267751873412952
12/2016,1.831606687976732
01/2017,1.6014249366999511
02/2017,1.362525525270401
03/2017,1.7328853672074083
04/2017,1.3519604656931916
05/2017,1.623165460450189
06/2017,1.6644420593922085
07/2017,1.4535808321795565
08/2017,1.6060671090969738
09/2017,1.3771259576574015
10/2017,1.560762443874379
11/2017,1.8280227757857028
12/2017,1.7499616627206802
01/2018,1.9022956436375076
02/2018,1.6640302027733007
03/2018,1.7045231977462807
04/2018,1.5244838912873706
05/2018,1.671929208054635
06/2018,1.6945566661066769
07/2018,1.7095881326228364
08/2018,2.101438742179687
09/2018,1.9186724312324648
10/2018,2.133420010986531
11/2018,1.6831674391173428
12/2018,1.5162146771713798
01/2019,1.601094360251044
02/2019,1.380080225293392
03/2019,1.6629880714324994
04/2019,2.077201701726418
05/2019,2.4648695589097955
06/2019,2.0340298163561195
07/2019,2.3811713819123956
08/2019,2.299233170107531
09/2019,2.242898966917796
10/2019,2.584719136718866
11/2019,2.530257755360589
12/2019,2.6470175228879484
01/2020,2.7480472470381696
02/2020,2.40000356072659
03/2020,2.275453698917498
04/2020,2.2727300099016503
05/2020,2.3083077204333073
06/2020,2.860828663340391
07/2020,3.0380548595389416
08/2020,3.507594374959194
09/2020,3.5915508011465906
10/2020,4.097045877415926
11/2020,3.163712049411074
