Date,Cumulative Returns
2006/01/03,0.0
2006/01/04,1.0016638257434507
2006/01/05,0.9980587994409765
2006/01/06,1.0061008707051466
2006/01/09,1.017470805031211
2006/01/10,1.0463116501759826
2006/01/11,1.0485302255505788
2006/01/12,1.0468662940196318
2006/01/13,1.0210759371211815
2006/01/17,0.9844702897403159
2006/01/18,0.9844702897403159
2006/01/19,1.0113699343260643
2006/01/20,0.991125910076608
2006/01/23,0.9753188250013513
2006/01/24,0.9711591548552281
2006/01/25,1.1580697928776027
2006/01/26,1.1367165867283449
2006/01/27,1.106211810052626
2006/01/30,1.1150858999760176
2006/01/31,1.1098169421425963
2006/02/01,1.0976150949448065
2006/02/02,1.0951192505421339
2006/02/03,1.0737659386053795
2006/02/06,1.0648918486819876
2006/02/07,1.0732112947617305
2006/02/08,1.081253471813397
2006/02/09,1.0820853846851226
2006/02/10,1.077925608751503
2006/02/13,1.0599001598766429
2006/02/14,1.0737659386053797
2006/02/15,1.077925608751503
2006/02/16,1.0870770734904676
2006/02/17,1.087354342518544
2006/02/21,1.082362653713199
2006/02/22,1.1114808736735433
2006/02/23,1.1184137630379116
2006/02/24,1.1228508079996076
2006/02/27,1.138103143443719
2006/02/28,1.1344980113537484
2006/03/01,1.1411536316900404
2006/03/02,1.206322749400105
2006/03/03,1.1916250577996428
2006/03/06,1.1788684609707076
2006/03/07,1.17332223410921
2006/03/08,1.1669439885884907
2006/03/09,1.1333887236664504
2006/03/10,1.1405989878463914
2006/03/13,1.1608430120958475
2006/03/14,1.1749860598526607
2006/03/15,1.1674985266446432
2006/03/16,1.187465281866023
2006/03/17,1.1827509678762507
2006/03/20,1.21713803988252
2006/03/21,1.227676061336859
2006/03/22,1.2343315758856546
2006/03/23,1.2290626180522333
2006/03/24,1.2465335288709407
2006/03/27,1.2346089507012274
2006/03/28,1.211037063389877
2006/03/29,1.241541840065596
2006/03/30,1.2221297286878652
2006/03/31,1.2493066423016899
2006/04/03,1.2160287521952222
2006/04/04,1.2287853490241576
2006/04/05,1.2409871962219472
2006/04/06,1.2379367079756256
2006/04/07,1.2337770378295023
2006/04/10,1.2146421954798476
2006/04/11,1.1896838572406192
2006/04/12,1.1866333689942976
2006/04/13,1.1935662583586661
2006/04/17,1.206877393243754
2006/04/18,1.1919023268277191
2006/04/19,1.2323903753266316
2006/04/20,1.3388795601948305
2006/04/21,1.3341652462050582
2006/04/24,1.3117026465810058
2006/04/25,1.3302828450870114
2006/04/26,1.3114253775529296
2006/04/27,1.3056017758758593
2006/04/28,1.3139212219556022
2006/05/01,1.306710957775661
2006/05/02,1.3236272247507195
2006/05/03,1.3089295331502573
2006/05/04,1.3330559585177606
2006/05/05,1.345535180531123
2006/05/08,1.3430393361284505
2006/05/09,1.3441486238157485
2006/05/10,1.3363837157921583
2006/05/11,1.3219632932197725
2006/05/12,1.2814752447208602
2006/05/15,1.2645589777458017
2006/05/16,1.2684414846513452
2006/05/17,1.2445923283119185
2006/05/18,1.2498612861453398
2006/05/19,1.2318357314829833
2006/05/22,1.2420964839092459
2006/05/23,1.2886855089008014
2006/05/24,1.2756516430437899
2006/05/25,1.2972822240086204
2006/05/26,1.3075429764348832
2006/05/30,1.2590127508843043
2006/05/31,1.2739877115128428
2006/06/01,1.2642817087177256
2006/06/02,1.2529117743916613
2006/06/05,1.2323903753266323
2006/06/06,1.2262895046214857
2006/06/07,1.2132556387644742
2006/06/08,1.1633388564985208
2006/06/09,1.1810870363453045
2006/06/12,1.1508596344851585
2006/06/13,1.137271124784498
2006/06/14,1.1308928792637785
2006/06/15,1.1716583025782636
2006/06/16,1.1442040141488663
2006/06/19,1.1242373647149828
2006/06/20,1.1125900555733457
2006/06/21,1.1469772333671115
2006/06/22,1.1300609663920531
2006/06/23,1.1181363882223398
2006/06/26,1.1161951876633163
2006/06/27,1.0915141184521642
2006/06/28,1.114808630947942
2006/06/29,1.1819189492170301
2006/06/30,1.2379367079756265
2006/07/03,1.2584581070406555
2006/07/05,1.250415929988989
2006/07/06,1.2562395316660595
2006/07/07,1.2518024867043636
2006/07/10,1.2534664182353108
2006/07/11,1.2800886880054865
2006/07/12,1.2689960227074983
2006/07/13,1.262617777186779
2006/07/14,1.230726549583182
2006/07/17,1.1896838572406205
2006/07/18,1.1841375245916266
2006/07/19,1.201608435410334
2006/07/20,1.1963393717894162
2006/07/21,1.1808097673172286
2006/07/24,1.1863559941787263
2006/07/25,1.1924569706713695
2006/07/26,1.2848031077827553
2006/07/27,1.2950637544215216
2006/07/28,1.2861896644981297
2006/07/31,1.3319466708304633
2006/08/01,1.2958956672932467
2006/08/02,1.3019966437858896
2006/08/03,1.360232872131586
2006/08/04,1.3458124495592
2006/08/07,1.3455351805311238
2006/08/08,1.3374930034794572
2006/08/09,1.3089295331502582
2006/08/10,1.3427619613128785
2006/08/11,1.332778689489685
2006/08/14,1.306156313932013
2006/08/15,1.3277870006843397
2006/08/16,1.3546865394825918
2006/08/17,1.3560732019854627
2006/08/18,1.3588463154162114
2006/08/21,1.4170825437619077
2006/08/22,1.4073765409667904
2006/08/23,1.3824180969400657
2006/08/24,1.3194675546045973
2006/08/25,1.3194675546045973
2006/08/28,1.3569051148571882
2006/08/29,1.3535773575827903
2006/08/30,1.385191316158311
2006/08/31,1.3580144025444862
2006/09/01,1.3555185581418137
2006/09/05,1.3643926480652053
2006/09/06,1.336938359635808
2006/09/07,1.336938359635808
2006/09/08,1.33361060236141
2006/09/11,1.3266777129970415
2006/09/12,1.339711578854053
2006/09/13,1.3463670934028487
